user_id,watch_time_hours,avg_session_mins,session_count,top_genres,weekend_ratio,completion_rate
72,26.52,52.24,22,"Comedy, Romance, Sci-Fi, Documentary",0.37,0.71
73,49.4,61.59,41,"Action, Drama",0.35,0.78
74,23.23,27.41,18,"Documentary, Action",0.65,0.65
75,29.22,47.25,22,"Romance, Documentary",0.86,0.65
76,19.3,53.9,16,"Comedy, Drama",0.75,0.59
77,14.88,41.26,20,"Sci-Fi, Comedy",0.75,0.67
78,14.24,52.92,18,"Romance, Documentary",0.73,0.71
79,43.08,55.51,27,"Thriller, Sci-Fi",0.38,0.86
80,22.92,42.18,8,"Thriller, Drama",0.68,0.58
81,24.47,40.93,23,"Sci-Fi, Documentary, Thriller, Drama",0.55,0.67
82,20.03,28.62,16,"Drama, Comedy, Animation, Thriller",0.34,0.72
83,29.49,54.3,26,"Thriller, Drama, Comedy, Animation",0.43,0.79
84,6.63,24.16,5,"Romance, Sci-Fi",0.22,0.69
85,10.65,25.06,4,"Documentary, Thriller",0.37,0.55
86,16.81,58.79,16,"Comedy, Thriller",0.93,0.67
87,11.48,47.03,9,"Romance, Action",0.7,0.78
88,4.42,25.29,12,"Animation, Thriller",0.3,0.57
89,15.95,45.6,21,"Comedy, Animation",0.74,0.72
90,10.51,15.29,4,"Comedy, Documentary",0.19,0.41
91,39.3,82.92,35,"Romance, Sci-Fi",0.27,0.8
92,11.42,33.17,16,"Thriller, Documentary",0.89,0.72
93,44.06,80.62,28,"Drama, Animation",0.41,0.77
94,26.9,49.73,19,"Romance, Sci-Fi, Thriller, Drama",0.38,0.64
95,18.76,45.93,21,"Action, Documentary",0.87,0.71
96,14.54,26.72,12,"Romance, Documentary",0.3,0.36
97,51.71,54.64,36,"Drama, Romance",0.36,0.96
98,22.7,42.21,10,"Sci-Fi, Documentary",0.79,0.64
99,55.02,63.14,42,"Animation, Documentary",0.32,0.9
100,40.92,62.3,30,"Action, Sci-Fi",0.23,0.93
101,18.26,31.57,19,"Documentary, Animation",0.84,0.67
102,32.12,75.21,29,"Comedy, Action",0.31,0.91
103,11.52,16.22,3,"Comedy, Thriller",0.29,0.38
104,47.67,53.47,42,"Animation, Documentary",0.27,0.91
105,29.6,33.53,25,"Drama, Animation",0.69,0.57
106,34.67,88.45,33,"Romance, Animation",0.28,0.93
107,34.9,61.42,38,"Drama, Thriller",0.34,0.9
108,16.9,44.32,25,"Thriller, Sci-Fi",0.76,0.83
109,9.86,14.67,15,"Documentary, Sci-Fi",0.25,0.46
110,17.72,48.23,12,"Sci-Fi, Animation",0.8,0.51
111,55.6,69.22,36,"Drama, Thriller",0.43,0.75
112,3.9,25.63,7,"Comedy, Animation",0.23,0.59
113,32.05,50.78,22,"Documentary, Animation, Romance, Action",0.54,0.69
114,33.22,82.64,29,"Animation, Action",0.45,0.92
115,40.53,83.17,20,"Romance, Drama",0.21,0.93
116,23.61,32.33,23,"Drama, Comedy, Action, Romance",0.42,0.74
117,22.39,33.43,12,"Documentary, Drama",0.72,0.72
118,56.46,70.59,29,"Documentary, Drama",0.37,0.79
119,27.78,37.73,18,"Animation, Documentary, Thriller, Action",0.39,0.59
120,7.58,17.18,7,"Animation, Drama",0.4,0.45
121,44.81,82.72,43,"Documentary, Animation",0.44,0.96
122,30.51,31.9,21,"Romance, Sci-Fi, Animation, Comedy",0.32,0.56
123,56.62,80.55,29,"Sci-Fi, Documentary",0.4,0.76
124,4.08,15.9,14,"Sci-Fi, Romance",0.25,0.42
125,31.61,32.71,25,"Sci-Fi, Animation, Action, Thriller",0.54,0.59
126,29.93,98.16,41,"Sci-Fi, Action",0.38,0.98
127,10.28,43.78,22,"Romance, Documentary",0.76,0.76
128,26.45,57.91,11,"Sci-Fi, Romance",0.85,0.67
129,10.77,22.71,10,"Animation, Action",0.38,0.46
130,3.54,10.74,10,"Drama, Thriller",0.18,0.43
131,17.42,58.23,25,"Drama, Thriller",0.78,0.76
132,54.18,78.86,28,"Documentary, Thriller",0.21,0.84
133,13.27,11.99,13,"Sci-Fi, Action",0.24,0.67
134,15.52,58.89,22,"Action, Documentary",0.68,0.57
135,19.87,28.78,28,"Thriller, Romance, Comedy, Sci-Fi",0.31,0.75
136,30.49,48.66,29,"Drama, Comedy, Romance, Documentary",0.25,0.76
137,4.32,27.33,5,"Thriller, Romance",0.15,0.63
138,15.32,32.96,14,"Comedy, Thriller, Animation, Drama",0.47,0.66
139,40.82,57.19,39,"Romance, Thriller",0.21,0.93
140,27.13,71.34,32,"Documentary, Action",0.31,0.77
141,36.27,53.16,24,"Sci-Fi, Thriller",0.27,0.9
142,24.07,43.16,13,"Thriller, Documentary, Animation, Comedy",0.49,0.53
143,16.78,40.87,21,"Sci-Fi, Documentary",0.87,0.61
144,22.49,29.58,25,"Comedy, Thriller, Action, Drama",0.27,0.75
145,9.68,21.73,11,"Animation, Drama",0.29,0.58
146,27.36,50.24,17,"Thriller, Comedy",0.83,0.62
147,14.48,28.79,25,"Thriller, Animation",0.76,0.77
148,26.9,59.11,25,"Romance, Action",0.66,0.83
149,6.28,25.25,8,"Drama, Romance",0.24,0.41
150,11.39,50.93,8,"Animation, Thriller",0.68,0.69
151,16.82,37.95,18,"Comedy, Action",0.88,0.7
152,4.89,22.36,13,"Animation, Thriller",0.17,0.51
153,18.28,32.54,24,"Romance, Sci-Fi",0.68,0.65
154,20.54,35.79,15,"Action, Comedy",0.77,0.71
155,33.91,48.02,18,"Documentary, Sci-Fi, Thriller, Comedy",0.34,0.54
156,7.56,24.07,11,"Sci-Fi, Action",0.29,0.58
157,27.24,26.48,8,"Sci-Fi, Romance",0.79,0.53
158,21.47,49.83,21,"Sci-Fi, Comedy",0.74,0.64
159,26.64,57.19,10,"Animation, Romance",0.78,0.54
160,20.48,38.85,17,"Drama, Action",0.87,0.58
161,43.57,55.66,44,"Drama, Comedy",0.29,0.92
162,30.13,55.85,39,"Comedy, Documentary",0.24,0.92
163,19.28,44.73,22,"Sci-Fi, Animation",0.85,0.81
164,18.02,27.05,24,"Action, Drama, Romance, Documentary",0.44,0.74
165,24.23,26.13,21,"Comedy, Romance, Animation, Sci-Fi",0.5,0.52
166,19.25,44.4,9,"Thriller, Drama",0.78,0.78
167,20.03,58.52,22,"Sci-Fi, Documentary",0.68,0.81
168,42.66,54.49,27,"Drama, Documentary",0.38,0.98
169,33.36,36.62,20,"Sci-Fi, Action, Drama, Animation",0.45,0.52
170,15.68,50.33,12,"Drama, Documentary",0.75,0.7
171,34.35,45.95,22,"Comedy, Drama, Romance, Thriller",0.29,0.71
172,31.26,45.1,26,"Sci-Fi, Action, Drama, Documentary",0.28,0.7
173,14.41,16.83,15,"Drama, Comedy",0.27,0.43
174,35.35,88.35,36,"Action, Sci-Fi",0.39,0.94
175,32.53,43.54,29,"Drama, Sci-Fi, Thriller, Action",0.36,0.55
176,17.29,50.19,22,"Documentary, Comedy",0.83,0.76
177,6.71,26.17,10,"Documentary, Thriller",0.38,0.42
178,30.56,40.09,23,"Drama, Animation, Documentary, Action",0.54,0.75
179,27.48,44.41,11,"Comedy, Drama",0.86,0.68
180,51.71,60.0,36,"Thriller, Animation",0.24,0.85
181,27.69,57.57,21,"Thriller, Documentary",0.67,0.68
182,38.12,46.55,23,"Drama, Comedy",0.41,0.9
183,35.04,90.64,42,"Documentary, Thriller",0.41,0.92
184,56.71,46.05,26,"Animation, Action",0.41,0.88
185,19.75,28.66,17,"Documentary, Action, Animation, Thriller",0.38,0.74
186,47.12,76.63,42,"Sci-Fi, Comedy",0.24,0.85
187,13.75,48.39,24,"Action, Thriller",0.94,0.52
188,10.87,38.54,19,"Comedy, Drama",0.73,0.51
189,11.8,22.57,15,"Drama, Action",0.3,0.61
190,25.92,49.41,15,"Documentary, Sci-Fi, Comedy, Animation",0.5,0.71
191,50.06,96.9,21,"Thriller, Action",0.27,0.76
192,33.67,40.46,27,"Thriller, Drama, Animation, Action",0.39,0.51
193,20.46,48.98,23,"Animation, Drama, Comedy, Thriller",0.52,0.72
194,17.35,52.91,16,"Comedy, Thriller",0.89,0.75
195,9.55,16.42,4,"Documentary, Romance",0.23,0.45
196,13.33,40.54,22,"Sci-Fi, Romance",0.66,0.8
197,15.49,59.3,9,"Sci-Fi, Romance",0.67,0.72
198,14.43,12.86,12,"Drama, Action",0.32,0.5
199,12.34,17.33,9,"Drama, Sci-Fi",0.39,0.36
200,28.98,38.02,10,"Animation, Drama",0.82,0.69
201,19.99,28.4,15,"Comedy, Drama, Animation, Thriller",0.4,0.62
202,14.96,15.71,10,"Comedy, Thriller",0.2,0.4
203,13.78,18.9,4,"Sci-Fi, Documentary",0.35,0.69
204,29.19,41.5,19,"Drama, Animation, Documentary, Romance",0.52,0.76
205,4.46,14.02,5,"Sci-Fi, Romance",0.21,0.52
206,24.35,54.49,14,"Romance, Thriller, Sci-Fi, Animation",0.43,0.53
207,25.38,53.82,10,"Comedy, Thriller",0.69,0.61
208,23.6,37.06,25,"Drama, Thriller",0.84,0.56
209,54.1,73.5,29,"Thriller, Drama",0.24,0.82
210,31.92,32.52,30,"Romance, Documentary, Animation, Action",0.54,0.58
211,10.1,21.61,5,"Sci-Fi, Animation",0.31,0.6
212,53.88,46.56,21,"Romance, Sci-Fi",0.44,0.93
213,12.2,18.33,13,"Romance, Sci-Fi",0.16,0.66
214,24.66,49.14,22,"Action, Comedy, Thriller, Sci-Fi",0.34,0.52
215,19.29,36.91,12,"Sci-Fi, Thriller",0.74,0.75
216,12.13,20.3,4,"Romance, Thriller",0.23,0.51
217,4.69,11.01,9,"Drama, Animation",0.37,0.5
218,33.68,46.63,16,"Documentary, Thriller, Drama, Animation",0.48,0.65
219,28.15,66.63,34,"Sci-Fi, Action",0.44,0.8
220,34.85,77.86,40,"Action, Animation",0.37,0.82
221,40.08,93.54,43,"Action, Thriller",0.29,0.84
222,44.96,55.71,37,"Documentary, Animation",0.27,0.84
223,31.51,43.7,29,"Animation, Drama, Documentary, Romance",0.29,0.79
224,30.1,30.97,26,"Action, Comedy, Sci-Fi, Drama",0.37,0.51
225,20.39,30.21,24,"Sci-Fi, Comedy",0.69,0.83
226,29.81,50.88,17,"Documentary, Sci-Fi",0.83,0.68
227,24.5,25.5,20,"Romance, Animation, Sci-Fi, Action",0.45,0.79
228,15.31,47.95,15,"Drama, Romance",0.87,0.7
229,12.96,48.83,9,"Thriller, Action",0.82,0.75
230,16.27,30.3,14,"Documentary, Animation",0.77,0.77
231,49.7,73.53,37,"Animation, Drama",0.28,0.9
232,8.52,20.66,11,"Romance, Documentary",0.24,0.62
233,13.85,33.63,25,"Romance, Animation",0.74,0.83
234,29.1,45.71,25,"Romance, Drama, Action, Documentary",0.35,0.6
235,27.92,38.81,19,"Romance, Action",0.94,0.78
236,34.11,27.37,24,"Thriller, Comedy, Romance, Drama",0.45,0.72
237,17.75,43.47,28,"Thriller, Sci-Fi, Comedy, Action",0.32,0.52
238,39.47,84.45,23,"Drama, Thriller",0.37,0.78
239,19.55,31.98,17,"Comedy, Sci-Fi",0.75,0.73
240,9.42,24.46,3,"Drama, Action",0.38,0.41
241,25.76,31.52,17,"Comedy, Drama",0.91,0.5
242,24.09,44.24,26,"Documentary, Drama, Comedy, Action",0.4,0.78
243,18.25,38.77,18,"Sci-Fi, Animation, Drama, Romance",0.47,0.5
244,5.11,27.12,9,"Comedy, Thriller",0.36,0.53
245,31.47,52.73,30,"Animation, Comedy",0.43,0.75
246,25.08,58.39,17,"Romance, Sci-Fi",0.82,0.7
247,28.86,26.86,13,"Romance, Sci-Fi, Action, Drama",0.39,0.55
248,27.29,31.57,14,"Sci-Fi, Thriller, Documentary, Romance",0.39,0.64
249,25.15,53.07,14,"Comedy, Romance",0.88,0.74
250,20.56,37.66,11,"Thriller, Romance",0.67,0.69
251,4.97,27.09,10,"Documentary, Action",0.18,0.42
252,26.17,40.87,24,"Documentary, Sci-Fi",0.77,0.7
253,29.47,36.88,10,"Action, Thriller, Drama, Documentary",0.47,0.67
254,57.71,48.8,35,"Drama, Animation",0.21,0.84
255,17.49,56.2,22,"Animation, Action",0.91,0.82
256,10.84,16.96,5,"Drama, Sci-Fi",0.4,0.49
257,13.02,25.12,7,"Animation, Romance",0.27,0.6
258,26.47,33.66,19,"Comedy, Action",0.7,0.57
259,22.3,57.77,8,"Action, Thriller",0.72,0.52
260,33.57,47.43,34,"Action, Comedy",0.26,0.8
261,19.68,52.49,28,"Sci-Fi, Comedy, Drama, Animation",0.35,0.68
262,7.96,15.5,11,"Drama, Sci-Fi",0.39,0.66
263,21.12,26.64,19,"Sci-Fi, Documentary",0.93,0.73
264,18.17,35.5,13,"Thriller, Drama",0.88,0.67
265,12.67,28.29,11,"Drama, Thriller",0.25,0.5
266,6.06,16.61,4,"Comedy, Romance",0.38,0.65
267,3.62,17.54,12,"Thriller, Animation",0.3,0.66
268,8.75,27.39,8,"Thriller, Comedy",0.23,0.67
269,51.14,86.49,27,"Animation, Comedy",0.37,0.91
270,30.51,36.42,27,"Sci-Fi, Romance, Thriller, Documentary",0.44,0.59
271,53.1,84.73,44,"Sci-Fi, Drama",0.41,0.96
272,10.91,55.24,12,"Animation, Drama",0.65,0.69
273,5.35,14.6,12,"Sci-Fi, Drama",0.36,0.52
274,29.33,47.46,23,"Sci-Fi, Comedy",0.79,0.76
275,11.64,19.77,11,"Action, Animation",0.4,0.69
276,58.08,81.75,44,"Thriller, Action",0.2,0.78
277,3.11,20.11,8,"Documentary, Sci-Fi",0.17,0.57
278,10.31,43.63,21,"Romance, Documentary",0.65,0.69
279,15.34,49.39,23,"Comedy, Action, Romance, Documentary",0.49,0.77
280,5.3,20.53,8,"Sci-Fi, Thriller",0.22,0.49
281,21.3,59.66,15,"Comedy, Sci-Fi",0.74,0.79
282,28.27,65.86,37,"Drama, Action",0.32,0.9
283,26.91,47.57,18,"Comedy, Romance",0.82,0.8
284,33.04,94.57,42,"Action, Documentary",0.42,0.86
285,32.99,41.91,11,"Action, Comedy, Romance, Animation",0.3,0.76
286,28.58,35.47,15,"Sci-Fi, Thriller",0.82,0.8
287,12.49,23.79,4,"Action, Documentary",0.28,0.69
288,14.64,27.66,20,"Romance, Animation",0.94,0.61
289,19.81,37.45,20,"Animation, Action",0.78,0.74
290,30.96,46.39,12,"Drama, Sci-Fi, Thriller, Documentary",0.33,0.61
291,17.13,25.16,19,"Comedy, Documentary, Action, Animation",0.38,0.73
292,18.98,44.42,21,"Comedy, Romance",0.68,0.53
293,32.27,25.37,23,"Thriller, Romance, Animation, Comedy",0.37,0.53
294,13.39,34.41,16,"Animation, Drama",0.8,0.52
295,16.0,52.39,19,"Documentary, Romance",0.73,0.59
296,8.49,12.71,3,"Animation, Documentary",0.39,0.47
297,23.8,37.92,30,"Sci-Fi, Romance, Documentary, Comedy",0.54,0.54
298,16.28,58.76,18,"Documentary, Romance",0.74,0.74
299,6.91,15.61,15,"Thriller, Romance",0.25,0.39
300,11.18,21.0,14,"Documentary, Animation",0.27,0.6
301,31.63,27.07,23,"Romance, Comedy, Drama, Animation",0.45,0.54
302,25.78,27.59,23,"Animation, Romance",0.82,0.69
303,52.68,64.77,45,"Comedy, Action",0.33,0.9
304,10.89,17.1,13,"Animation, Documentary",0.3,0.55
305,34.31,37.91,10,"Thriller, Documentary, Drama, Animation",0.28,0.57
306,25.45,45.6,24,"Documentary, Action",0.7,0.85
307,23.32,53.85,13,"Sci-Fi, Drama, Animation, Thriller",0.5,0.72
308,9.25,16.97,4,"Sci-Fi, Action",0.26,0.59
309,15.89,46.32,10,"Drama, Sci-Fi, Comedy, Romance",0.5,0.69
310,9.62,16.62,9,"Animation, Sci-Fi",0.39,0.43
311,5.24,23.15,9,"Thriller, Documentary",0.16,0.56
312,17.78,49.67,14,"Comedy, Romance",0.73,0.75
313,52.98,74.53,31,"Romance, Sci-Fi",0.28,0.86
314,20.55,47.37,20,"Sci-Fi, Drama",0.83,0.71
315,22.35,53.48,17,"Drama, Documentary",0.93,0.71
316,33.35,51.43,31,"Animation, Romance",0.37,0.87
317,9.9,18.46,10,"Drama, Romance",0.31,0.59
318,8.88,12.81,8,"Sci-Fi, Action",0.36,0.57
319,12.73,53.53,25,"Documentary, Thriller",0.8,0.67
320,19.77,27.89,8,"Action, Drama",0.89,0.58
321,9.45,13.36,10,"Documentary, Romance",0.29,0.62
322,45.04,59.73,37,"Action, Animation",0.41,0.83
323,20.93,59.64,11,"Thriller, Drama",0.87,0.73
324,40.74,64.17,22,"Thriller, Comedy",0.31,0.98
325,32.22,43.31,23,"Thriller, Animation, Comedy, Action",0.3,0.54
326,25.65,42.91,15,"Romance, Documentary, Drama, Animation",0.35,0.71
327,29.75,86.26,33,"Drama, Sci-Fi",0.43,0.98
328,6.0,24.23,6,"Documentary, Comedy",0.34,0.59
329,27.56,36.26,12,"Comedy, Thriller, Romance, Drama",0.44,0.76
330,24.09,39.64,28,"Comedy, Sci-Fi, Thriller, Drama",0.25,0.73
331,52.85,66.87,33,"Sci-Fi, Animation",0.41,0.86
332,21.76,42.34,28,"Action, Documentary, Animation, Thriller",0.51,0.74
333,29.35,92.17,34,"Animation, Comedy",0.31,0.98
334,13.59,16.04,7,"Comedy, Drama",0.17,0.48
335,3.62,22.51,14,"Comedy, Sci-Fi",0.32,0.43
336,25.04,71.22,24,"Documentary, Action",0.35,0.87
337,49.35,89.94,33,"Thriller, Documentary",0.37,0.86
338,50.58,50.63,30,"Animation, Documentary",0.29,0.82
339,10.7,23.54,4,"Drama, Thriller",0.28,0.35
340,29.45,43.84,14,"Documentary, Animation, Comedy, Action",0.53,0.68
341,29.9,51.77,43,"Sci-Fi, Animation",0.3,0.97
342,5.97,22.89,6,"Romance, Animation",0.29,0.56
343,54.68,81.21,29,"Thriller, Sci-Fi",0.25,0.89
344,15.91,26.91,15,"Documentary, Sci-Fi",0.8,0.54
345,43.49,98.77,31,"Animation, Drama",0.43,0.78
346,12.15,29.09,15,"Action, Drama",0.17,0.56
347,3.48,11.21,15,"Animation, Thriller",0.25,0.45
348,11.65,43.78,12,"Thriller, Animation",0.73,0.61
349,9.44,17.81,13,"Comedy, Drama",0.34,0.58
350,24.6,54.63,9,"Comedy, Thriller",0.72,0.82
351,35.83,85.79,43,"Drama, Sci-Fi",0.24,0.75
352,30.73,97.42,36,"Romance, Comedy",0.33,0.94
353,17.54,48.43,18,"Action, Drama, Thriller, Animation",0.47,0.54
354,34.2,98.63,40,"Sci-Fi, Action",0.22,0.85
355,27.19,30.84,13,"Comedy, Documentary",0.73,0.54
356,26.54,92.46,27,"Drama, Comedy",0.21,0.83
357,44.35,95.27,43,"Thriller, Documentary",0.36,0.8
358,20.43,27.34,21,"Action, Comedy, Animation, Romance",0.29,0.7
359,58.39,48.79,34,"Romance, Drama",0.42,0.93
360,44.36,45.44,26,"Thriller, Documentary",0.27,0.93
361,26.83,39.8,16,"Thriller, Comedy, Action, Documentary",0.47,0.66
362,33.15,64.05,42,"Action, Animation",0.42,0.97
363,26.98,50.45,11,"Animation, Thriller",0.71,0.84
364,59.04,52.83,28,"Animation, Sci-Fi",0.22,0.96
365,24.17,47.44,28,"Animation, Action, Romance, Sci-Fi",0.28,0.54
366,40.22,98.03,27,"Animation, Sci-Fi",0.27,0.95
367,21.36,33.16,12,"Comedy, Documentary, Action, Animation",0.53,0.54
368,19.32,39.23,25,"Documentary, Drama",0.76,0.77
369,15.3,29.2,13,"Action, Comedy",0.89,0.61
370,17.97,46.33,21,"Romance, Drama, Comedy, Action",0.37,0.51
371,27.09,44.46,25,"Drama, Action",0.72,0.66
372,27.16,87.95,27,"Sci-Fi, Documentary",0.23,0.94
373,45.38,59.24,22,"Documentary, Animation",0.21,0.76
374,4.1,26.95,15,"Documentary, Action",0.23,0.36
375,14.09,18.66,14,"Animation, Comedy",0.25,0.36
376,19.29,30.61,18,"Thriller, Sci-Fi, Drama, Documentary",0.38,0.54
377,27.66,41.77,10,"Thriller, Sci-Fi",0.73,0.55
378,10.57,26.04,15,"Sci-Fi, Thriller",0.15,0.48
379,16.88,44.8,18,"Sci-Fi, Romance",0.77,0.56
380,3.35,26.21,7,"Sci-Fi, Animation",0.16,0.7
381,14.69,12.0,13,"Action, Animation",0.21,0.54
382,9.91,29.65,9,"Drama, Comedy",0.24,0.64
383,10.11,26.12,14,"Sci-Fi, Romance",0.24,0.56
384,9.76,13.76,15,"Romance, Comedy",0.37,0.52
385,10.76,26.97,15,"Sci-Fi, Romance",0.66,0.67
386,12.68,16.82,5,"Sci-Fi, Action",0.38,0.65
387,30.17,83.76,24,"Sci-Fi, Action",0.39,0.94
388,29.09,44.86,28,"Drama, Comedy, Sci-Fi, Thriller",0.28,0.59
389,22.98,31.1,25,"Sci-Fi, Comedy",0.86,0.83
390,7.54,24.68,7,"Animation, Documentary",0.18,0.61
391,31.37,62.5,45,"Comedy, Thriller",0.44,0.8
392,6.97,11.56,8,"Comedy, Animation",0.4,0.41
393,23.93,32.96,17,"Comedy, Sci-Fi, Action, Animation",0.46,0.61
394,18.76,39.69,13,"Animation, Drama",0.92,0.67
395,12.03,41.78,15,"Action, Drama",0.7,0.53
396,36.16,97.34,22,"Drama, Sci-Fi",0.29,0.95
397,44.15,94.4,22,"Documentary, Sci-Fi",0.28,0.98
398,40.1,80.95,39,"Comedy, Drama",0.42,0.79
399,14.69,18.19,11,"Romance, Sci-Fi",0.33,0.61
400,20.95,27.88,22,"Drama, Action, Documentary, Animation",0.42,0.75
401,11.75,53.84,23,"Drama, Sci-Fi",0.71,0.51
402,34.54,39.21,13,"Documentary, Sci-Fi, Drama, Action",0.34,0.62
403,13.7,55.99,19,"Documentary, Thriller",0.71,0.52
404,19.52,33.06,11,"Comedy, Action, Sci-Fi, Drama",0.3,0.71
405,29.41,45.64,25,"Animation, Romance",0.67,0.64
406,21.45,33.25,17,"Action, Romance",0.67,0.82
407,4.44,25.14,5,"Thriller, Animation",0.39,0.41
408,4.51,18.47,13,"Drama, Animation",0.26,0.7
409,21.39,46.81,12,"Sci-Fi, Animation, Drama, Romance",0.28,0.67
410,28.34,25.43,24,"Drama, Comedy",0.88,0.54
411,57.37,75.95,23,"Sci-Fi, Thriller",0.4,0.95
412,22.66,39.57,29,"Animation, Comedy, Romance, Sci-Fi",0.39,0.55
413,10.78,56.14,18,"Documentary, Drama",0.86,0.52
414,15.4,49.52,19,"Comedy, Animation, Documentary, Sci-Fi",0.34,0.75
415,34.48,38.29,20,"Comedy, Documentary, Thriller, Animation",0.33,0.63
416,24.82,51.58,19,"Drama, Action",0.9,0.68
417,29.19,37.1,26,"Thriller, Animation, Comedy, Action",0.51,0.51
418,3.4,11.01,8,"Documentary, Romance",0.33,0.45
419,22.71,29.34,8,"Documentary, Comedy",0.72,0.67
420,21.74,37.24,13,"Comedy, Drama",0.9,0.59
421,38.53,53.96,38,"Thriller, Sci-Fi",0.39,0.8
422,11.13,15.38,9,"Action, Thriller",0.28,0.65
423,10.77,22.02,3,"Romance, Sci-Fi",0.21,0.56
